,seqnames,start,end,width,strand,Conc,Conc_0.mM,Conc_10.mM,Fold,p.value,FDR
4944,chr7,130321789,130322289,501,*,4.79,3.84,5.35,-1.52,1.93E-05,0.000483
4946,chr17,1787486,1787986,501,*,5.98,5.39,6.4,-1.01,1.93E-05,0.000484
4947,chr19,45955881,45956381,501,*,6.78,6.32,7.12,-0.8,1.93E-05,0.000485
4948,chr2,233129351,233129851,501,*,5.13,4.26,5.66,-1.4,1.93E-05,0.000485
4949,chr7,41028944,41029444,501,*,7.02,6.55,7.38,-0.83,1.93E-05,0.000485
4950,chr5,14036023,14036951,929,*,8.3,7.87,8.63,-0.77,1.93E-05,0.000485
4951,chr17,2043723,2044223,501,*,5.35,4.64,5.83,-1.19,1.94E-05,0.000486
4952,chr20,9977409,9977909,501,*,8.19,7.4,8.7,-1.29,1.94E-05,0.000486
4953,chr2,6459100,6459600,501,*,6.42,5.89,6.8,-0.91,1.94E-05,0.000486
4954,chr16,24151413,24151913,501,*,5.15,4.37,5.65,-1.27,1.94E-05,0.000486
4955,chr9,101458928,101459428,501,*,7.6,7.06,7.99,-0.93,1.94E-05,0.000487
4957,chr2,11863577,11864077,501,*,7.22,6.75,7.57,-0.82,1.94E-05,0.000487
4958,chr5,124935831,124936331,501,*,6.85,6.37,7.21,-0.85,1.95E-05,0.000487
4959,chrX,151538460,151538960,501,*,5.39,4.67,5.86,-1.19,1.95E-05,0.000487
4960,chr11,4018602,4019102,501,*,6.67,6.04,7.11,-1.06,1.95E-05,0.000487
4962,chr11,44416753,44417253,501,*,5.25,4.5,5.74,-1.24,1.96E-05,0.000489
4964,chr2,236557610,236558110,501,*,4.88,3.96,5.43,-1.47,1.96E-05,0.000489
4965,chr20,23810335,23810835,501,*,4.27,3.01,4.93,-1.93,1.96E-05,0.00049
4967,chr2,173652678,173653178,501,*,4.62,3.63,5.2,-1.57,1.96E-05,0.000491
4968,chr14,105710494,105710994,501,*,5.59,4.92,6.04,-1.13,1.97E-05,0.000491
4969,chr21,17900597,17901097,501,*,4.98,4.17,5.5,-1.33,1.97E-05,0.000492
4970,chr1,42081407,42081907,501,*,4.92,4.07,5.45,-1.38,1.97E-05,0.000492
4971,chr11,76524526,76525026,501,*,6.38,5.8,6.79,-0.99,1.97E-05,0.000493
4972,chr9,70467178,70467678,501,*,5.66,4.94,6.14,-1.2,1.97E-05,0.000493
4973,chr5,124592910,124593410,501,*,4.86,4.01,5.4,-1.39,1.98E-05,0.000494
4974,chr6,158763810,158764310,501,*,6.34,5.81,6.73,-0.92,1.98E-05,0.000494
4975,chr21,32339592,32340092,501,*,5.13,4.3,5.66,-1.36,1.98E-05,0.000495
4977,chr8,104590307,104590807,501,*,5,4.13,5.54,-1.41,1.98E-05,0.000495
4978,chr4,123418375,123418875,501,*,6.15,5.53,6.58,-1.05,1.98E-05,0.000495
4979,chr4,141331917,141332830,914,*,8,7.54,8.34,-0.8,1.99E-05,0.000496
4980,chr6,161038378,161038878,501,*,5.46,4.76,5.93,-1.17,1.99E-05,0.000497
4981,chr2,26766989,26767489,501,*,5.38,4.68,5.85,-1.18,1.99E-05,0.000497
4982,chr1,94481358,94481858,501,*,5.89,5.22,6.34,-1.13,1.99E-05,0.000497
4983,chr15,92391599,92392099,501,*,5.43,4.68,5.93,-1.25,2.00E-05,0.000497
4985,chr20,43975253,43975753,501,*,5.92,5.34,6.33,-1,2.00E-05,0.000498
4986,chr15,90522684,90523184,501,*,3.5,1.72,4.27,-2.55,2.00E-05,0.000498
4987,chr8,130880488,130880988,501,*,4.44,3.44,5.02,-1.58,2.00E-05,0.000498
4988,chr12,13362166,13362666,501,*,6.97,6.48,7.33,-0.85,2.01E-05,0.000499
4989,chr8,125505396,125506324,929,*,7.6,7.19,7.93,-0.74,2.01E-05,0.000499
4990,chr1,115977462,115977962,501,*,5.65,5,6.1,-1.1,2.01E-05,0.000499
4991,chr20,3716160,3716660,501,*,7.34,6.88,7.69,-0.81,2.01E-05,0.000499
4992,chr22,45317582,45318082,501,*,5.51,4.76,6,-1.24,2.01E-05,5.00E-04
4993,chrX,103637600,103638406,807,*,6.95,6.45,7.32,-0.87,2.01E-05,0.000501
4994,chr3,10224747,10225247,501,*,6.42,5.87,6.82,-0.95,2.01E-05,0.000501
4995,chr19,51158333,51159186,854,*,6.32,5.73,6.75,-1.02,2.02E-05,0.000501
4996,chrX,68186820,68187320,501,*,4.91,4.02,5.46,-1.43,2.02E-05,0.000501
4997,chr8,127000405,127000905,501,*,4.76,3.88,5.3,-1.42,2.02E-05,0.000503
4998,chr3,46477126,46477626,501,*,5.13,4.32,5.64,-1.32,2.02E-05,0.000503
4999,chr21,43318774,43319274,501,*,5.36,4.63,5.84,-1.21,2.03E-05,0.000503
5000,chr1,174035451,174035951,501,*,4.97,4.08,5.52,-1.44,2.03E-05,0.000503
5002,chr3,64187583,64188083,501,*,6.41,5.88,6.79,-0.92,2.03E-05,0.000503
5003,chr11,14337068,14337568,501,*,5.91,5.3,6.34,-1.04,2.03E-05,0.000503
5004,chr2,190718716,190719216,501,*,7.21,6.72,7.57,-0.85,2.03E-05,0.000504
5005,chr5,56003099,56003599,501,*,5.81,5.2,6.23,-1.04,2.03E-05,0.000504
5006,chr2,135245035,135245535,501,*,4.78,3.9,5.32,-1.42,2.03E-05,0.000504
5008,chr6,36244810,36245310,501,*,5.83,5.2,6.27,-1.06,2.04E-05,0.000505
5009,chr17,30336526,30337026,501,*,6.28,5.75,6.66,-0.91,2.04E-05,0.000505
5010,chr12,106106964,106107464,501,*,5.12,4.15,5.7,-1.55,2.04E-05,0.000505
5011,chr20,16864000,16864500,501,*,5.41,4.71,5.87,-1.16,2.04E-05,0.000505
5012,chr22,49755854,49756354,501,*,4.91,4.04,5.45,-1.41,2.04E-05,0.000505
5013,chr5,72441768,72442268,501,*,4.21,3.1,4.83,-1.73,2.04E-05,0.000505
5014,chr12,95649329,95649829,501,*,6.03,5.43,6.46,-1.02,2.04E-05,0.000506
5015,chr22,30626455,30626955,501,*,5.01,4.16,5.55,-1.39,2.05E-05,0.000506
5016,chr15,41921540,41922040,501,*,5.52,4.86,5.98,-1.12,2.05E-05,0.000506
5017,chr6,32627768,32628268,501,*,3.05,0.9,3.87,-2.98,2.05E-05,0.000507
5018,chr7,142838395,142839291,897,*,5,4.24,5.5,-1.26,2.05E-05,0.000507
5019,chr19,6663559,6664059,501,*,5.22,4.46,5.72,-1.27,2.05E-05,0.000507
5020,chr7,75791414,75791914,501,*,6.68,6.2,7.04,-0.84,2.05E-05,0.000508
5021,chr12,202403,202903,501,*,5.87,5.28,6.29,-1.01,2.06E-05,0.000508
5023,chr17,48778759,48779259,501,*,4.98,4.16,5.5,-1.35,2.06E-05,0.000509
5024,chr13,71290977,71291477,501,*,5.82,5.17,6.27,-1.1,2.06E-05,0.000509
5025,chr14,68695234,68695734,501,*,8.53,8.09,8.87,-0.78,2.06E-05,0.00051
5026,chr9,121565827,121566327,501,*,5.55,4.92,5.99,-1.08,2.06E-05,0.00051
5027,chr1,39653482,39653982,501,*,6.34,5.83,6.72,-0.89,2.06E-05,0.00051
5028,chr6,11494608,11495108,501,*,4.77,3.85,5.33,-1.48,2.07E-05,0.00051
5029,chr20,35306880,35307380,501,*,8.34,7.94,8.65,-0.71,2.07E-05,0.00051
5030,chr20,31987700,31988200,501,*,6.6,6.11,6.97,-0.86,2.07E-05,0.00051
5031,chr3,134441274,134441774,501,*,5.2,4.44,5.69,-1.25,2.07E-05,0.000511
5032,chr5,53008646,53009146,501,*,4.17,2.96,4.81,-1.85,2.07E-05,0.000511
5033,chr15,64521774,64522274,501,*,5.86,5.27,6.27,-1,2.07E-05,0.000511
5034,chr2,195534181,195534681,501,*,5.14,4.35,5.65,-1.3,2.07E-05,0.000511
5035,chr11,119943103,119944047,945,*,5.9,5.3,6.32,-1.03,2.07E-05,0.000511
5036,chr21,17688915,17689415,501,*,7.12,6.63,7.49,-0.85,2.08E-05,0.000511
5037,chr2,191670075,191670575,501,*,4.2,2.95,4.85,-1.9,2.08E-05,0.000511
5038,chr3,43855615,43856115,501,*,6.71,6.21,7.08,-0.87,2.08E-05,0.000513
5039,chr1,61170206,61170706,501,*,4.77,3.85,5.33,-1.48,2.08E-05,0.000513
5040,chr2,119464897,119465397,501,*,5.63,5,6.07,-1.07,2.08E-05,0.000513
5041,chr14,95265412,95265912,501,*,8.26,7.87,8.57,-0.69,2.08E-05,0.000513
5042,chr5,139263502,139264002,501,*,4.86,3.99,5.39,-1.4,2.09E-05,0.000514
5043,chr11,122375910,122376410,501,*,5.45,4.8,5.9,-1.1,2.09E-05,0.000515
5045,chr8,26517538,26518038,501,*,5.23,4.53,5.7,-1.17,2.10E-05,0.000516
5046,chr16,56476801,56477559,759,*,5.51,4.8,5.99,-1.18,2.10E-05,0.000516
5047,chr8,132478639,132479139,501,*,5.84,5.2,6.28,-1.08,2.10E-05,0.000517
5048,chr16,75090824,75091324,501,*,4.37,3.36,4.96,-1.6,2.10E-05,0.000517
5049,chr16,7185646,7186146,501,*,5.45,4.75,5.92,-1.17,2.10E-05,0.000517
5050,chrX,21798831,21799331,501,*,6.39,5.87,6.77,-0.9,2.10E-05,0.000517
5051,chr12,123120355,123120855,501,*,4.79,3.88,5.34,-1.46,2.10E-05,0.000517
5052,chr7,157490499,157490999,501,*,6.59,6.1,6.96,-0.86,2.10E-05,0.000517
5053,chr1,224525367,224526149,783,*,4.77,3.9,5.32,-1.42,2.11E-05,0.000517
5054,chr5,134435492,134435992,501,*,6.1,5.53,6.52,-0.99,2.11E-05,0.000519
5055,chr12,124829804,124830304,501,*,4.72,3.86,5.26,-1.4,2.11E-05,0.000519
5056,chrX,69448137,69448637,501,*,4.66,3.7,5.23,-1.53,2.12E-05,0.00052
5057,chr6,45430605,45431105,501,*,4.82,3.94,5.36,-1.42,2.12E-05,0.00052
5058,chr16,71019171,71019671,501,*,3.44,1.65,4.21,-2.56,2.12E-05,0.00052
5060,chr12,19862266,19862766,501,*,4.28,3.14,4.91,-1.76,2.12E-05,0.000521
5061,chr20,38435551,38436051,501,*,6.2,5.65,6.59,-0.94,2.12E-05,0.000521
5062,chr10,92892243,92892743,501,*,7.42,6.95,7.78,-0.83,2.13E-05,0.000521
5063,chr11,80593912,80594412,501,*,4.48,3.38,5.09,-1.72,2.14E-05,0.000524
5064,chr6,158800491,158800991,501,*,4.69,3.65,5.29,-1.63,2.14E-05,0.000524
5065,chr7,47586882,47587802,921,*,6.23,5.71,6.61,-0.9,2.14E-05,0.000524
5066,chr10,103481897,103482574,678,*,6.08,5.47,6.5,-1.04,2.14E-05,0.000525
5067,chr6,132131668,132132168,501,*,4.5,3.55,5.07,-1.52,2.14E-05,0.000525
5068,chr19,46190068,46190568,501,*,6.1,5.57,6.49,-0.93,2.14E-05,0.000525
5069,chr4,66574875,66575375,501,*,4.13,2.97,4.77,-1.8,2.15E-05,0.000525
5070,chr12,52423888,52424388,501,*,7.01,6.57,7.35,-0.79,2.15E-05,0.000526
5071,chr3,72372107,72372607,501,*,4.43,3.39,5.02,-1.63,2.15E-05,0.000526
5072,chr1,64956176,64956676,501,*,5.57,4.92,6.01,-1.09,2.15E-05,0.000527
5073,chr1,233520482,233520982,501,*,6.34,5.84,6.71,-0.88,2.16E-05,0.000528
5074,chr11,102615665,102616165,501,*,5.45,4.77,5.91,-1.13,2.16E-05,0.000528
5075,chr2,147149772,147150272,501,*,5.03,4.26,5.52,-1.26,2.16E-05,0.000529
5076,chr10,24428276,24428776,501,*,5,4.12,5.54,-1.41,2.16E-05,0.000529
5077,chr2,62725183,62725683,501,*,5.57,4.95,6,-1.05,2.17E-05,0.00053
5078,chr18,31206844,31207344,501,*,5.58,4.89,6.04,-1.15,2.17E-05,0.000531
5079,chr12,610138,610638,501,*,6.78,6.31,7.13,-0.82,2.17E-05,0.000531
5080,chrX,54721353,54721853,501,*,6.39,5.8,6.8,-1,2.18E-05,0.000531
5081,chr10,33132569,33133069,501,*,4.51,3.56,5.08,-1.53,2.18E-05,0.000532
5082,chr14,92397121,92397621,501,*,5.84,5.26,6.25,-1,2.18E-05,0.000532
5083,chr11,132401973,132402473,501,*,6.87,6.4,7.23,-0.83,2.18E-05,0.000533
5084,chr18,23529601,23530101,501,*,5.66,5.02,6.1,-1.08,2.19E-05,0.000534
5085,chr9,16145126,16145626,501,*,5.27,4.55,5.74,-1.19,2.19E-05,0.000534
5086,chr4,145816056,145816556,501,*,5.32,4.58,5.81,-1.24,2.19E-05,0.000534
5087,chr12,110809082,110809582,501,*,5.31,4.57,5.79,-1.22,2.19E-05,0.000535
5088,chr3,40971064,40971564,501,*,7.92,7.49,8.25,-0.76,2.19E-05,0.000535
5089,chr17,77122473,77122973,501,*,7.36,6.9,7.71,-0.81,2.20E-05,0.000536
5090,chrX,150204868,150205368,501,*,5.11,4.36,5.6,-1.24,2.20E-05,0.000536
5091,chr3,125936180,125936680,501,*,7.43,6.98,7.77,-0.78,2.20E-05,0.000537
5093,chr6,4804021,4804521,501,*,4.52,3.52,5.1,-1.58,2.21E-05,0.000538
5094,chr1,108646744,108647244,501,*,5.66,5.01,6.1,-1.1,2.21E-05,0.000539
5095,chr13,31982060,31982967,908,*,6.84,6.33,7.22,-0.89,2.21E-05,0.000539
5096,chr7,95499510,95500010,501,*,5.86,5.23,6.3,-1.07,2.22E-05,0.00054
5097,chr17,77649571,77650071,501,*,5.44,4.75,5.91,-1.16,2.23E-05,0.000543
5098,chr11,70080728,70081228,501,*,7.95,7.5,8.3,-0.8,2.23E-05,0.000544
5099,chr4,40563956,40564456,501,*,5.6,4.93,6.06,-1.13,2.24E-05,0.000545
5100,chr6,108609118,108609618,501,*,4.66,3.74,5.21,-1.47,2.24E-05,0.000545
5101,chr1,56064684,56065184,501,*,4.19,3.06,4.81,-1.76,2.24E-05,0.000545
5102,chr6,46733355,46733855,501,*,5.7,5.06,6.14,-1.08,2.25E-05,0.000547
5103,chrX,134676371,134676871,501,*,5.26,4.53,5.74,-1.21,2.25E-05,0.000547
5104,chr16,12869954,12870454,501,*,4.99,4.18,5.5,-1.32,2.25E-05,0.000547
5105,chr8,24414952,24415452,501,*,6.35,5.82,6.74,-0.92,2.25E-05,0.000547
5107,chr11,69360566,69361066,501,*,4.91,4.02,5.45,-1.43,2.25E-05,0.000548
5108,chr6,160417511,160418011,501,*,4.46,3.33,5.09,-1.76,2.26E-05,0.000549
5109,chr19,53520695,53521195,501,*,7.81,7.39,8.13,-0.74,2.26E-05,0.000549
5110,chr1,38242450,38242950,501,*,4.79,3.97,5.32,-1.34,2.26E-05,0.000549
5111,chr5,178075434,178076524,1091,*,7.41,6.97,7.75,-0.78,2.27E-05,0.000551
5112,chr8,123922302,123922802,501,*,5.38,4.51,5.92,-1.41,2.27E-05,0.000551
5113,chr1,67532357,67532857,501,*,5.49,4.85,5.93,-1.08,2.27E-05,0.000551
5114,chr15,58461947,58462447,501,*,4.31,3.27,4.91,-1.64,2.27E-05,0.000551
5115,chrX,23749552,23750052,501,*,6.19,5.61,6.59,-0.98,2.27E-05,0.000551
5116,chr9,90979031,90979531,501,*,5.35,4.62,5.83,-1.21,2.27E-05,0.000552
5117,chr9,108057344,108057844,501,*,5.26,4.46,5.77,-1.32,2.27E-05,0.000552
5118,chr19,57465712,57466212,501,*,5.93,5.35,6.34,-1,2.28E-05,0.000552
5119,chr2,14904291,14904791,501,*,5.06,4.28,5.56,-1.29,2.28E-05,0.000552
5120,chr2,65377624,65378124,501,*,7.82,7.37,8.17,-0.8,2.28E-05,0.000553
5121,chr9,114737023,114737523,501,*,5.34,4.58,5.84,-1.26,2.28E-05,0.000554
5123,chr11,129530137,129530637,501,*,6.43,5.83,6.86,-1.02,2.29E-05,0.000554
5124,chr6,90467963,90468463,501,*,4.29,3.09,4.94,-1.84,2.29E-05,0.000554
5125,chr12,62785851,62786351,501,*,4.75,3.88,5.28,-1.4,2.29E-05,0.000556
5126,chr6,123802527,123803027,501,*,6.4,5.89,6.78,-0.89,2.30E-05,0.000557
5128,chr7,130242183,130242683,501,*,5.7,5.09,6.12,-1.03,2.30E-05,0.000557
5130,chr3,46706048,46706548,501,*,6.58,6.04,6.98,-0.94,2.30E-05,0.000557
5132,chr4,158094640,158095140,501,*,5.64,4.95,6.11,-1.16,2.31E-05,0.000559
5133,chr15,88920473,88920973,501,*,4.62,3.67,5.19,-1.53,2.31E-05,0.00056
5134,chr12,10153317,10153817,501,*,7.72,7.23,8.09,-0.85,2.31E-05,0.00056
5135,chr2,10565891,10566391,501,*,5.53,4.86,5.99,-1.13,2.32E-05,0.00056
5136,chr1,243513942,243514442,501,*,4.98,4.13,5.51,-1.38,2.32E-05,0.000561
5137,chr17,74552052,74552552,501,*,6.19,5.64,6.59,-0.95,2.32E-05,0.000561
5138,chr1,147167307,147167807,501,*,6.01,5.35,6.46,-1.11,2.33E-05,0.000562
5140,chr7,38169841,38170341,501,*,6.15,5.57,6.57,-1,2.33E-05,0.000562
5141,chr4,140085111,140085611,501,*,5.13,4.38,5.62,-1.24,2.33E-05,0.000562
5142,chr12,97168756,97169256,501,*,4.16,3.07,4.78,-1.71,2.33E-05,0.000563
5143,chr3,194840613,194841113,501,*,8.43,7.95,8.78,-0.83,2.33E-05,0.000563
5144,chr12,3380448,3380948,501,*,4.46,3.48,5.04,-1.56,2.34E-05,0.000564
5145,chr9,137427904,137428404,501,*,8.64,7.66,9.22,-1.57,2.34E-05,0.000564
5146,chr17,37849101,37849601,501,*,7.45,6.95,7.82,-0.86,2.34E-05,0.000565
5147,chr13,33388178,33388678,501,*,7.57,7.1,7.92,-0.82,2.34E-05,0.000565
5148,chr9,131744287,131744787,501,*,5.91,5.33,6.32,-0.99,2.34E-05,0.000565
5149,chr8,29555371,29555871,501,*,7.81,7.32,8.18,-0.86,2.35E-05,0.000566
5151,chr12,123841806,123842306,501,*,4.73,3.84,5.27,-1.43,2.35E-05,0.000567
5153,chr11,1446102,1446602,501,*,7.23,6.78,7.57,-0.79,2.36E-05,0.000568
5154,chr5,113020401,113020901,501,*,5.47,4.74,5.96,-1.22,2.36E-05,0.000568
5155,chr6,73287164,73287664,501,*,5.17,4.38,5.68,-1.3,2.37E-05,0.00057
5158,chr14,68468659,68469159,501,*,5.34,4.61,5.82,-1.21,2.38E-05,0.000572
5159,chr9,77455200,77455700,501,*,6.11,5.54,6.51,-0.97,2.39E-05,0.000574
5160,chr3,151293100,151293600,501,*,5.87,5.27,6.29,-1.01,2.39E-05,0.000574
5161,chr3,54965728,54966228,501,*,5.2,4.4,5.71,-1.31,2.39E-05,0.000574
5162,chrX,22110673,22111173,501,*,4.41,3.39,4.99,-1.6,2.39E-05,0.000575
5163,chr12,57881499,57881999,501,*,6.78,6.27,7.17,-0.9,2.40E-05,0.000577
5164,chr22,39219583,39220083,501,*,5.9,5.32,6.31,-0.99,2.40E-05,0.000578
5165,chr7,12659479,12659979,501,*,4.62,3.69,5.19,-1.5,2.41E-05,0.000578
5166,chr12,29220786,29221286,501,*,7.72,7.3,8.04,-0.74,2.41E-05,0.000579
5167,chr8,100882017,100882517,501,*,5.15,4.27,5.7,-1.43,2.41E-05,0.000579
5168,chr10,120394327,120394827,501,*,4.99,4.13,5.52,-1.39,2.41E-05,0.000579
5169,chr4,183229306,183229806,501,*,3.72,2.2,4.44,-2.24,2.41E-05,0.000579
5170,chr12,70645851,70646351,501,*,5.41,4.64,5.91,-1.27,2.42E-05,0.00058
5171,chr6,39193325,39193825,501,*,6.83,6.34,7.19,-0.86,2.42E-05,0.00058
5173,chr2,49973935,49974435,501,*,4.95,4.11,5.48,-1.37,2.42E-05,0.00058
5175,chr1,31523681,31524181,501,*,5.15,4.43,5.63,-1.2,2.42E-05,0.000581
5176,chr10,84762836,84763336,501,*,5.31,4.59,5.79,-1.2,2.43E-05,0.000582
5177,chr14,92900579,92901079,501,*,5.09,4.32,5.58,-1.26,2.43E-05,0.000582
5178,chr3,194497683,194498183,501,*,6.51,5.99,6.89,-0.9,2.43E-05,0.000582
5180,chr8,63191955,63192455,501,*,4.17,2.93,4.82,-1.89,2.43E-05,0.000583
5181,chr3,133916136,133916636,501,*,5.64,5.02,6.06,-1.04,2.43E-05,0.000583
5182,chr3,197487795,197488295,501,*,7.74,7.23,8.12,-0.88,2.43E-05,0.000583
5183,chr10,133321021,133321521,501,*,5.85,5.27,6.26,-0.99,2.43E-05,0.000583
5184,chrX,68428336,68428836,501,*,5.01,4.16,5.54,-1.38,2.43E-05,0.000583
5185,chr11,69935075,69935575,501,*,6.78,6.29,7.15,-0.86,2.44E-05,0.000583
5187,chr6,7426425,7426925,501,*,4.4,3.42,4.98,-1.56,2.45E-05,0.000585
5188,chr6,40962241,40962741,501,*,8.12,7.68,8.46,-0.78,2.45E-05,0.000585
5189,chr1,91799788,91800288,501,*,5.12,4.31,5.64,-1.33,2.45E-05,0.000586
5191,chr9,124143839,124144339,501,*,4.17,2.9,4.84,-1.93,2.45E-05,0.000586
5192,chr11,64386303,64386803,501,*,7.76,7.27,8.13,-0.86,2.45E-05,0.000586
5193,chr3,186117623,186118123,501,*,5.26,4.44,5.78,-1.33,2.45E-05,0.000586
5195,chr15,73986015,73986515,501,*,5.42,4.7,5.9,-1.2,2.45E-05,0.000586
5196,chr5,159735614,159736114,501,*,4.79,3.9,5.34,-1.44,2.45E-05,0.000586
5197,chr17,55452656,55453156,501,*,6.57,6.05,6.95,-0.9,2.46E-05,0.000587
5198,chr2,37378372,37378872,501,*,8.13,7.73,8.44,-0.71,2.46E-05,0.000587
5200,chr19,6521703,6522203,501,*,4.5,3.5,5.09,-1.58,2.46E-05,0.000587
5201,chr10,32983226,32983726,501,*,5.47,4.8,5.92,-1.12,2.46E-05,0.000588
5202,chr5,150801030,150801530,501,*,5.43,4.76,5.89,-1.13,2.47E-05,0.00059
5204,chr7,64307146,64307646,501,*,9.28,8.82,9.63,-0.82,2.48E-05,0.000592
5206,chr9,16321617,16322117,501,*,5.43,4.76,5.89,-1.13,2.50E-05,0.000596
5207,chr9,81318507,81319007,501,*,4.03,2.85,4.67,-1.82,2.50E-05,0.000596
5209,chr7,54995922,54996851,930,*,7.14,6.69,7.47,-0.78,2.50E-05,0.000597
5210,chr12,34376474,34376974,501,*,5.59,4.98,6.02,-1.05,2.51E-05,0.000598
5211,chr13,51632885,51633385,501,*,4.65,3.78,5.19,-1.41,2.51E-05,0.000598
5212,chr6,4280676,4281176,501,*,6.44,5.91,6.82,-0.91,2.51E-05,0.000599
5213,chr9,97876713,97877213,501,*,7.5,7,7.87,-0.87,2.52E-05,0.000599
5214,chr3,171168144,171168644,501,*,7.06,6.56,7.43,-0.87,2.52E-05,0.000599
5215,chr17,16536755,16537255,501,*,6.97,6.47,7.34,-0.86,2.52E-05,0.000599
5216,chr6,159961518,159962018,501,*,5.38,4.71,5.84,-1.13,2.52E-05,6.00E-04
5217,chr9,130539517,130540017,501,*,6.07,5.5,6.47,-0.97,2.53E-05,0.000602
5218,chr15,56043491,56043991,501,*,4.19,2.93,4.85,-1.92,2.53E-05,0.000603
5219,chr15,89551446,89551946,501,*,5.73,5.06,6.18,-1.12,2.53E-05,0.000603
5220,chr16,80231797,80232297,501,*,5.65,4.94,6.12,-1.18,2.53E-05,0.000603
5221,chr22,34055740,34056240,501,*,5.17,4.46,5.64,-1.18,2.54E-05,0.000604
5223,chr1,109901587,109902087,501,*,6.05,5.48,6.46,-0.98,2.54E-05,0.000604
5224,chr7,149720350,149720850,501,*,7.48,7.03,7.83,-0.8,2.55E-05,0.000605
5226,chr1,115641028,115641528,501,*,5.25,4.53,5.73,-1.2,2.55E-05,0.000606
5228,chr5,6439735,6440235,501,*,6.51,6.01,6.89,-0.88,2.55E-05,0.000606
5229,chr2,132268508,132269008,501,*,4.92,4.12,5.43,-1.3,2.55E-05,0.000606
5230,chr11,5808409,5808909,501,*,6.63,6.14,6.99,-0.85,2.56E-05,0.000607
5231,chr17,57671827,57672327,501,*,7.31,6.89,7.63,-0.74,2.56E-05,0.000607
5232,chr22,24601506,24602006,501,*,6.12,5.5,6.56,-1.06,2.56E-05,0.000607
5236,chr20,47804352,47804852,501,*,4.94,4.02,5.5,-1.48,2.56E-05,0.000608
5237,chr7,143974401,143974901,501,*,4.83,3.97,5.36,-1.39,2.56E-05,0.000608
5238,chr16,67982763,67983263,501,*,4.65,3.7,5.21,-1.51,2.57E-05,0.000609
5239,chrX,80765169,80765669,501,*,4.73,3.72,5.32,-1.6,2.57E-05,0.00061
5240,chr15,80954292,80954792,501,*,4.87,3.89,5.45,-1.56,2.57E-05,0.00061
5241,chr1,67850583,67851083,501,*,5.73,5.12,6.16,-1.04,2.58E-05,0.000612
5242,chr3,117019036,117019536,501,*,5.45,4.81,5.9,-1.09,2.59E-05,0.000613
5244,chr3,177596819,177597319,501,*,4.29,3.24,4.89,-1.65,2.59E-05,0.000613
5245,chr6,10300047,10300547,501,*,4.54,3.61,5.09,-1.49,2.59E-05,0.000613
5246,chr13,45847603,45848103,501,*,5.96,5.24,6.44,-1.2,2.59E-05,0.000613
5247,chrX,100946501,100947001,501,*,5.07,4.33,5.56,-1.23,2.59E-05,0.000613
5248,chr17,29190006,29190506,501,*,5.61,4.96,6.05,-1.09,2.60E-05,0.000614
5250,chr6,37630225,37630725,501,*,6.08,5.52,6.48,-0.96,2.60E-05,0.000615
5251,chr10,24440920,24441420,501,*,4.15,3.03,4.77,-1.74,2.60E-05,0.000615
5252,chr12,27649892,27650392,501,*,4.02,2.77,4.68,-1.92,2.60E-05,0.000616
5254,chr4,185040408,185040908,501,*,4.2,3.04,4.83,-1.79,2.61E-05,0.000616
5255,chr17,10140817,10141317,501,*,6.42,5.92,6.8,-0.88,2.61E-05,0.000617
5256,chr1,55443470,55443970,501,*,4.58,3.67,5.14,-1.47,2.61E-05,0.000617
5257,chr5,68343370,68343870,501,*,4.66,3.71,5.23,-1.52,2.61E-05,0.000617
5258,chr19,6528662,6529162,501,*,6.03,5.43,6.45,-1.02,2.62E-05,0.000618
5259,chr2,113234103,113234603,501,*,6.74,6.22,7.12,-0.9,2.62E-05,0.000618
5260,chr22,20807315,20807815,501,*,6.43,5.9,6.82,-0.92,2.62E-05,0.000618
5261,chr12,42969288,42969788,501,*,4.65,3.77,5.2,-1.43,2.63E-05,0.000619
5263,chr4,8117259,8117759,501,*,7.84,7.45,8.15,-0.7,2.63E-05,0.000619
5264,chrX,139381884,139382384,501,*,5.15,4.36,5.66,-1.3,2.63E-05,0.00062
5265,chr7,34069623,34070123,501,*,7.33,6.88,7.67,-0.79,2.63E-05,0.00062
5266,chr6,25311178,25311678,501,*,4.56,3.65,5.11,-1.46,2.63E-05,0.00062
5267,chr6,1535238,1535738,501,*,4.84,4.04,5.36,-1.32,2.63E-05,0.00062
5268,chr5,133234192,133234692,501,*,5.44,4.72,5.92,-1.2,2.63E-05,0.00062
5269,chr3,153768787,153769287,501,*,6.55,6.09,6.9,-0.81,2.63E-05,0.00062
5270,chr2,105510683,105511383,701,*,4.8,3.9,5.35,-1.45,2.63E-05,0.00062
5271,chr13,27641693,27642193,501,*,4.49,3.53,5.06,-1.53,2.64E-05,0.00062
5272,chr20,4502715,4503215,501,*,4.57,3.65,5.12,-1.48,2.64E-05,0.00062
5273,chr2,16644152,16644652,501,*,4.77,3.88,5.32,-1.44,2.64E-05,0.00062
5274,chr11,102244851,102245351,501,*,6.01,5.43,6.42,-0.99,2.64E-05,0.00062
5275,chr10,125084165,125084665,501,*,5.01,4.2,5.53,-1.33,2.64E-05,0.00062
5276,chr7,66148396,66148896,501,*,6.23,5.64,6.65,-1.01,2.64E-05,0.00062
5278,chr15,73742817,73743317,501,*,5.63,4.96,6.09,-1.13,2.65E-05,0.000623
